Benchmark,instruction_number,arithmetic_type,simd_type,instruction,bit,result
namd_r,1122,mul,sd,"vmulsd xmm1, xmm4, xmm9
",0,No Issues
namd_r,1122,mul,sd,"vmulsd xmm1, xmm4, xmm9
",16,No Issues
namd_r,1122,mul,sd,"vmulsd xmm1, xmm4, xmm9
",28,No Issues
namd_r,1122,mul,sd,"vmulsd xmm1, xmm4, xmm9
",48,Crashed
namd_r,1014,mul,sd,"vmulsd xmm7, xmm13, xmm11
",0,No Issues
namd_r,1014,mul,sd,"vmulsd xmm7, xmm13, xmm11
",16,No Issues
namd_r,1014,mul,sd,"vmulsd xmm7, xmm13, xmm11
",28,No Issues
namd_r,1014,mul,sd,"vmulsd xmm7, xmm13, xmm11
",48,No Issues
namd_r,1014,mul,sd,"vmulsd xmm7, xmm13, xmm11
",0,No Issues
namd_r,1014,mul,sd,"vmulsd xmm7, xmm13, xmm11
",16,No Issues
namd_r,1014,mul,sd,"vmulsd xmm7, xmm13, xmm11
",28,No Issues
namd_r,1014,mul,sd,"vmulsd xmm7, xmm13, xmm11
",48,No Issues
namd_r,792,sub,sd,"vsubsd xmm11, xmm0, xmm4
",0,No Issues
namd_r,792,sub,sd,"vsubsd xmm11, xmm0, xmm4
",16,No Issues
namd_r,792,sub,sd,"vsubsd xmm11, xmm0, xmm4
",28,No Issues
namd_r,792,sub,sd,"vsubsd xmm11, xmm0, xmm4
",48,No Issues
namd_r,792,sub,sd,"vsubsd xmm11, xmm0, xmm4
",0,No Issues
namd_r,792,sub,sd,"vsubsd xmm11, xmm0, xmm4
",16,No Issues
namd_r,792,sub,sd,"vsubsd xmm11, xmm0, xmm4
",28,No Issues
namd_r,792,sub,sd,"vsubsd xmm11, xmm0, xmm4
",48,No Issues
namd_r,559,add,sd,"vaddsd xmm7, xmm6, qword ptr [r15]
",0,No Issues
namd_r,559,add,sd,"vaddsd xmm7, xmm6, qword ptr [r15]
",16,No Issues
namd_r,559,add,sd,"vaddsd xmm7, xmm6, qword ptr [r15]
",28,No Issues
namd_r,559,add,sd,"vaddsd xmm7, xmm6, qword ptr [r15]
",48,No Issues
namd_r,559,add,sd,"vaddsd xmm7, xmm6, qword ptr [r15]
",0,No Issues
namd_r,559,add,sd,"vaddsd xmm7, xmm6, qword ptr [r15]
",16,No Issues
namd_r,559,add,sd,"vaddsd xmm7, xmm6, qword ptr [r15]
",28,No Issues
namd_r,559,add,sd,"vaddsd xmm7, xmm6, qword ptr [r15]
",48,No Issues
namd_r,1141,add,pd,"vaddpd xmm3, xmm3, xmm5
",0,No Issues
namd_r,1141,add,pd,"vaddpd xmm3, xmm3, xmm5
",16,SDC
namd_r,1141,add,pd,"vaddpd xmm3, xmm3, xmm5
",28,SDC
namd_r,1141,add,pd,"vaddpd xmm3, xmm3, xmm5
",48,Crashed
namd_r,809,mul,sd,"vmulsd xmm4, xmm0, qword ptr [rbx+0x8]
",0,No Issues
namd_r,809,mul,sd,"vmulsd xmm4, xmm0, qword ptr [rbx+0x8]
",16,No Issues
namd_r,809,mul,sd,"vmulsd xmm4, xmm0, qword ptr [rbx+0x8]
",28,No Issues
namd_r,809,mul,sd,"vmulsd xmm4, xmm0, qword ptr [rbx+0x8]
",48,No Issues
namd_r,809,mul,sd,"vmulsd xmm4, xmm0, qword ptr [rbx+0x8]
",0,No Issues
namd_r,809,mul,sd,"vmulsd xmm4, xmm0, qword ptr [rbx+0x8]
",16,No Issues
namd_r,809,mul,sd,"vmulsd xmm4, xmm0, qword ptr [rbx+0x8]
",28,No Issues
namd_r,809,mul,sd,"vmulsd xmm4, xmm0, qword ptr [rbx+0x8]
",48,Crashed
namd_r,755,mul,sd,"vmulsd xmm5, xmm5, xmm4
",0,No Issues
namd_r,755,mul,sd,"vmulsd xmm5, xmm5, xmm4
",16,No Issues
namd_r,755,mul,sd,"vmulsd xmm5, xmm5, xmm4
",28,No Issues
namd_r,755,mul,sd,"vmulsd xmm5, xmm5, xmm4
",48,No Issues
namd_r,755,mul,sd,"vmulsd xmm5, xmm5, xmm4
",0,No Issues
namd_r,755,mul,sd,"vmulsd xmm5, xmm5, xmm4
",16,No Issues
namd_r,755,mul,sd,"vmulsd xmm5, xmm5, xmm4
",28,No Issues
namd_r,755,mul,sd,"vmulsd xmm5, xmm5, xmm4
",48,Crashed
namd_r,724,mul,pd,"vmulpd xmm2, xmm2, xmm6
",0,No Issues
namd_r,724,mul,pd,"vmulpd xmm2, xmm2, xmm6
",16,No Issues
namd_r,724,mul,pd,"vmulpd xmm2, xmm2, xmm6
",28,No Issues
namd_r,724,mul,pd,"vmulpd xmm2, xmm2, xmm6
",48,Crashed
namd_r,724,mul,pd,"vmulpd xmm2, xmm2, xmm6
",0,No Issues
namd_r,724,mul,pd,"vmulpd xmm2, xmm2, xmm6
",16,No Issues
namd_r,724,mul,pd,"vmulpd xmm2, xmm2, xmm6
",28,No Issues
namd_r,724,mul,pd,"vmulpd xmm2, xmm2, xmm6
",48,SDC
